date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:52	37421/37421	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Jun%202022%2021:52:51%20GMT	https://especiesamenazadas.org/	/Users/morin_ricardo/documents/temp/fauna/web/index.html	(from )
14:52:52	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-59f7bbf70c82a%22	https://especiesamenazadas.org/robots.txt		(from )
14:52:52	1552/1552	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Jun%202022%2021:52:52%20GMT	https://especiesamenazadas.org/assets/web/images/logo.gif	/Users/morin_ricardo/documents/temp/fauna/web/images/logo.gif	(from https://especiesamenazadas.org/)
14:52:53	7613/7613	---M-Z	200	added ('OK')	text/css	etag:%221dbd-5aba7c14b2166-gzip%22	https://especiesamenazadas.org/assets/web/web/assets/mobirise-icons/mobirise-icons.css	/Users/morin_ricardo/documents/temp/fauna/web/images/mobirise-icons.css	(from https://especiesamenazadas.org/)
14:52:54	1343/1343	---M-Z	200	added ('OK')	text/css	etag:%2253f-5aba7c14b2166-gzip%22	https://especiesamenazadas.org/assets/web/soundcloud-plugin/style.css	/Users/morin_ricardo/documents/temp/fauna/web/images/style.css	(from https://especiesamenazadas.org/)
14:52:55	160403/160403	---M-Z	200	added ('OK')	text/css	etag:%2227293-5aba7c14ae2e6-gzip%22	https://especiesamenazadas.org/assets/web/bootstrap/css/bootstrap.min.css	/Users/morin_ricardo/documents/temp/fauna/web/images/bootstrap.min.css	(from https://especiesamenazadas.org/)
14:52:56	50995/50995	---M-Z	200	added ('OK')	text/css	etag:%22c733-5aba7c14ae2e6-gzip%22	https://especiesamenazadas.org/assets/web/bootstrap/css/bootstrap-grid.min.css	/Users/morin_ricardo/documents/temp/fauna/web/images/bootstrap-grid.min.css	(from https://especiesamenazadas.org/)
14:52:57	3879/3879	---M-Z	200	added ('OK')	text/css	etag:%22f27-5aba7c14ae2e6-gzip%22	https://especiesamenazadas.org/assets/web/bootstrap/css/bootstrap-reboot.min.css	/Users/morin_ricardo/documents/temp/fauna/web/images/bootstrap-reboot.min.css	(from https://especiesamenazadas.org/)
14:52:58	237/237	---M-Z	200	added ('OK')	text/css	etag:%22ed-5aba7c14b2166-gzip%22	https://especiesamenazadas.org/assets/web/tether/tether.min.css	/Users/morin_ricardo/documents/temp/fauna/web/images/tether.min.css	(from https://especiesamenazadas.org/)
14:52:59	7982/7982	---M-Z	200	added ('OK')	text/css	etag:%221f2e-5aba7c14ae2e6-gzip%22	https://especiesamenazadas.org/assets/web/dropdown/css/style.css	/Users/morin_ricardo/documents/temp/fauna/web/images/style-2.css	(from https://especiesamenazadas.org/)
14:53:00	891/891	---M-Z	200	added ('OK')	text/css	etag:%2237b-5b4ef649aedfc-gzip%22	https://especiesamenazadas.org/assets/web/as-pie-progress/css/progress.min.css	/Users/morin_ricardo/documents/temp/fauna/web/images/progress.min.css	(from https://especiesamenazadas.org/)
14:53:01	15507/15507	---M-Z	200	added ('OK')	text/css	etag:%223c93-5aba7c14b11c6-gzip%22	https://especiesamenazadas.org/assets/web/socicon/css/styles.css	/Users/morin_ricardo/documents/temp/fauna/web/images/styles.css	(from https://especiesamenazadas.org/)
14:53:02	18440/18440	---M-Z	200	added ('OK')	text/css	etag:%224808-5aba7c14b2166-gzip%22	https://especiesamenazadas.org/assets/web/theme/css/style.css	/Users/morin_ricardo/documents/temp/fauna/web/images/style-3.css	(from https://especiesamenazadas.org/)
14:53:03	57791/57791	---M-Z	200	added ('OK')	text/css	etag:%22e1bf-5c005c0394e13-gzip%22	https://especiesamenazadas.org/assets/web/mobirise/css/mbr-additional.css?v2	/Users/morin_ricardo/documents/temp/fauna/web/images/mbr-additional1b26.css	(from https://especiesamenazadas.org/)
14:53:04	3609/3609	---M-Z	200	added ('OK')	text/css	etag:%22e19-5bf30e7a1f14a-gzip%22	https://especiesamenazadas.org/assets/vendor/baguettebox.js/baguetteBox.min.css	/Users/morin_ricardo/documents/temp/fauna/web/images/baguettebox.min.css	(from https://especiesamenazadas.org/)
14:53:05	6472/6472	---M--	200	added ('OK')	image/png	etag:%221948-5b551fd58cf6d%22	https://especiesamenazadas.org/assets/web/images/logo.png	/Users/morin_ricardo/documents/temp/fauna/web/images/logo.png	(from https://especiesamenazadas.org/)
